"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"R3","TopLayer","-31.2000","14.1000","360"
"R1","TopLayer","-26.3000","3.2000","270"
"C3","TopLayer","-27.2000","3.2000","90"
"R14","TopLayer","23.3000","-0.4000","360"
"R7","TopLayer","-10.8458","3.6068","180"
"R6","TopLayer","-23.6000","3.2000","90"
"R5","TopLayer","-24.5000","3.2000","90"
"R4","TopLayer","-28.9000","3.2000","90"
"R2","TopLayer","-20.7000","-7.6000","270"
"L3","TopLayer","1.6000","10.4000","90"
"C56","TopLayer","1.4840","14.8000","180"
"C55","TopLayer","1.5000","6.0000","180"
"C29","TopLayer","23.3000","1.8000","360"
"X8","TopLayer","8.7500","11.2500","0"
"X6","BottomLayer","-44.3000","11.2000","270"
"X5","BottomLayer","-2.6000","-4.2300","0"
"X4","BottomLayer","-15.0000","-13.5000","180"
"X3","BottomLayer","-40.5000","-5.2500","270"
"X2","BottomLayer","40.5000","0.0000","90"
"U14","TopLayer","18.2350","-3.9000","90"
"U13","TopLayer","-3.9000","5.7000","0"
"U12","TopLayer","-23.1000","10.9000","90"
"U11","TopLayer","-11.1000","-11.8000","360"
"U10_CH2","TopLayer","-25.8750","-5.3640","360"
"U10_CH1","TopLayer","-25.8760","0.5000","360"
"U9","TopLayer","17.0000","12.0000","270"
"U8","TopLayer","22.6000","-14.1000","270"
"U7","TopLayer","9.2500","-0.6000","270"
"U6","TopLayer","-0.0080","-9.6440","270"
"U5","TopLayer","3.2920","-13.4950","270"
"U4","TopLayer","-12.6000","10.2000","180"
"U3","TopLayer","-30.6000","10.3000","180"
"U2","TopLayer","-17.3000","-6.7000","360"
"U1","TopLayer","-5.8000","-9.8000","270"
"SH1","TopLayer","-28.2500","10.2500","0"
"S1","TopLayer","13.5002","-12.3000","360"
"R38","TopLayer","11.4000","5.2000","90"
"R37","TopLayer","8.2000","5.2000","90"
"R36","TopLayer","7.3000","5.2000","90"
"R35","TopLayer","12.3000","5.2000","270"
"R34","TopLayer","-2.8000","15.0000","90"
"R33","TopLayer","-3.8000","15.0000","270"
"R32","TopLayer","-11.2390","-9.6630","270"
"R31","TopLayer","-12.0390","-9.6630","270"
"R30","TopLayer","-12.0390","-14.2630","180"
"R29","TopLayer","-13.7000","-12.7000","90"
"R28","TopLayer","-13.7000","-14.6000","270"
"R27_CH2","TopLayer","-24.1750","-7.8640","270"
"R27_CH1","TopLayer","-24.1760","-2.0000","270"
"R26_CH2","TopLayer","-23.4750","-4.8640","90"
"R26_CH1","TopLayer","-23.4760","1.0000","90"
"R25_CH2","TopLayer","-28.8750","-4.3052","180"
"R25_CH1","TopLayer","-28.8760","1.5588","180"
"R24_CH2","TopLayer","-28.8750","-5.3052","360"
"R24_CH1","TopLayer","-28.8760","0.5588","360"
"R23_CH2","TopLayer","-25.9750","-7.8640","90"
"R23_CH1","TopLayer","-25.9760","-2.0000","90"
"R22_CH2","TopLayer","-26.8750","-7.8640","90"
"R22_CH1","TopLayer","-26.8760","-2.0000","90"
"R21","TopLayer","15.7000","14.7000","90"
"R20","TopLayer","16.6000","14.7000","270"
"R19","TopLayer","13.2000","5.2000","90"
"R18","TopLayer","19.5000","-14.2000","360"
"R17","TopLayer","27.8000","0.0000","90"
"R16","TopLayer","19.5000","-13.3000","180"
"R15","TopLayer","29.9000","0.0000","270"
"R13","TopLayer","24.3000","-5.6000","360"
"R12","TopLayer","10.2000","-6.5000","270"
"R11","TopLayer","12.9000","-6.5000","90"
"R10","TopLayer","19.3000","14.7000","270"
"R9","TopLayer","18.4000","14.7000","270"
"R8","TopLayer","-4.8000","15.0000","270"
"Q7","TopLayer","-21.8000","7.4000","360"
"Q6","TopLayer","-15.6883","-10.1629","180"
"Q5","TopLayer","-16.3000","-13.7398","90"
"Q4_CH2","TopLayer","-31.8750","-5.3050","90"
"Q4_CH1","TopLayer","-31.8760","0.5590","90"
"Q3","TopLayer","23.3000","-3.3000","360"
"Q2","TopLayer","2.4000","1.2000","270"
"Q1","TopLayer","-15.4000","2.7000","360"
"P6","BottomLayer","-15.2500","14.8000","90"
"P5_CH2","BottomLayer","-31.5000","-6.4500","270"
"P5_CH1","BottomLayer","-31.5000","-0.4500","270"
"P4","BottomLayer","15.0000","14.7000","270"
"P3","BottomLayer","18.5000","14.7000","270"
"P2","BottomLayer","16.7500","14.7000","270"
"P1","BottomLayer","-13.5000","14.8000","90"
"LS1","BottomLayer","16.0000","0.1000","180"
"L2","TopLayer","21.0000","13.0000","90"
"L1","TopLayer","23.9000","-9.4000","180"
"FL1","TopLayer","-39.4000","11.2000","180"
"FB1","TopLayer","-35.8000","7.3000","90"
"F1_CH2","TopLayer","-31.3750","-7.9640","180"
"F1_CH1","TopLayer","-31.3760","-2.1000","180"
"D7","TopLayer","-21.4000","-12.9500","360"
"D6_CH2","TopLayer","-23.1751","-7.6639","270"
"D6_CH1","TopLayer","-23.1761","-1.7999","270"
"D5","TopLayer","25.5000","7.5000","270"
"D4","TopLayer","22.0250","7.5110","270"
"D3","TopLayer","26.8001","-0.0001","90"
"D2","TopLayer","31.6000","6.4250","90"
"D1","TopLayer","31.6000","-6.3750","270"
"C57","TopLayer","15.1000","-1.8000","90"
"C54","TopLayer","-1.9050","14.9860","270"
"C53","TopLayer","-4.7000","1.4000","180"
"C52","TopLayer","-4.7124","2.3932","180"
"C51","TopLayer","-24.6000","7.3000","90"
"C50","TopLayer","-23.7000","7.3000","90"
"C49","TopLayer","-20.1000","13.1000","270"
"C48","TopLayer","-20.1000","11.3000","90"
"C47","TopLayer","-22.3000","13.9000","180"
"C46","TopLayer","-12.0390","-15.0630","360"
"C45","TopLayer","-12.0390","-13.4630","180"
