Altium Designer Pick and Place Locations
C:\Users\Luca\Google Drive\Projects\CATS\cats-hardware\CATS-GS\Project Outputs for CATS-GS\Pick Place for CATS-GS.csv

========================================================================================================================
File Design Information:

Date:       25/09/22
Time:       18:44
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Center-X(mm)","Center-Y(mm)","Rotation","JLC"
"R19","10k","BottomLayer","10.4000mm","29.4000mm","0","C25744"
"R6","1.0k","BottomLayer","79.6000mm","25.5000mm","270","C11702"
"TP22","X-TP","BottomLayer","35.5000mm","26.5000mm","90",""
"TP21","X-TP","BottomLayer","35.5000mm","28.0000mm","90",""
"TP20","X-TP","BottomLayer","35.5000mm","29.5000mm","90",""
"TP19","X-TP","BottomLayer","35.5000mm","31.0000mm","90",""
"TP18","X-TP","BottomLayer","35.5000mm","34.5000mm","90",""
"TP17","X-TP","BottomLayer","35.5000mm","45.5000mm","90",""
"TP16","X-TP","BottomLayer","35.5000mm","47.0000mm","90",""
"TP15","X-TP","BottomLayer","35.5000mm","48.5000mm","90",""
"TP14","X-TP","BottomLayer","35.5000mm","50.0000mm","90",""
"TP13","X-TP","BottomLayer","28.5000mm","56.5000mm","90",""
"TP12","X-TP","BottomLayer","27.0000mm","56.5000mm","90",""
"TP11","X-TP","BottomLayer","25.5000mm","56.5000mm","90",""
"TP10","X-TP","BottomLayer","24.0000mm","56.5000mm","90",""
"TP9","X-TP","BottomLayer","22.5000mm","56.5000mm","90",""
"TP8","X-TP","BottomLayer","56.6000mm","32.7000mm","90",""
"TP7","X-TP","BottomLayer","70.0000mm","59.9000mm","90",""
"TP5","X-TP","BottomLayer","66.6000mm","25.2000mm","90",""
"TP4","X-TP","BottomLayer","81.5000mm","34.0000mm","90",""
"TP2","X-TP","BottomLayer","72.2000mm","34.5000mm","90",""
"TP1","X-TP","BottomLayer","81.5000mm","27.8000mm","90",""
"X7_U_Reefing-Radio_MCU2","TC2030-CTX-NL","BottomLayer","30.5000mm","73.9400mm","90",""
"X7_U_Reefing-Radio_MCU1","TC2030-CTX-NL","BottomLayer","59.5000mm","73.9400mm","90",""
"X6","JTAG-Header (ARM-Cortex)","BottomLayer","20.0400mm","26.6000mm","180",""
"X5","FFC","BottomLayer","45.0000mm","31.5000mm","180","C481219"
"X4","SMA Connector","BottomLayer","76.5000mm","75.5000mm","180",""
"X3","18650","BottomLayer","45.0890mm","15.7830mm","0","C2988620"
"X2","SMA Connector","BottomLayer","13.5000mm","75.5000mm","180",""
"X1","USB 2.0 Typ-C","BottomLayer","86.0000mm","47.5000mm","90","C167321"
"U10_U_Reefing-Radio2","SX1280IMLTRT","BottomLayer","13.2500mm","66.1000mm","180","C125969"
"U10_U_Reefing-Radio1","SX1280IMLTRT","BottomLayer","76.2500mm","66.0250mm","180","C125969"
"U9_U_Reefing-Radio_MCU2","STM32G071GBU6","BottomLayer","24.9000mm","66.6000mm","180","C529347"
"U9_U_Reefing-Radio_MCU1","STM32G071GBU6","BottomLayer","65.1000mm","66.6000mm","180","C529347"
"U8","ATGM336H-5N","BottomLayer","47.5000mm","61.5000mm","180","C90770"
"U7","LSM6DSRTR","BottomLayer","45.0000mm","39.0000mm","180","C784817"
"U6","QMC5883L","BottomLayer","45.0000mm","45.3000mm","180","C976032"
"U5","ESP32-S2-WROVER","BottomLayer","19.1250mm","41.7500mm","270","C701333"
"U4","ME2188A50XG","BottomLayer","60.3000mm","34.3000mm","90","C236769"
"U3","ME4055AM6G-N","BottomLayer","85.3000mm","37.3000mm","270","C82121"
"U2","TPS62203DBVR","BottomLayer","64.9000mm","27.9000mm","0","C9051"
"U1","RY2200","BottomLayer","75.6000mm","25.5000mm","180","C2888102"
"TP6","X-TP","BottomLayer","56.4000mm","25.3000mm","90",""
"TP3","X-TP","BottomLayer","73.5000mm","41.8000mm","90",""
"S6","SPST","TopLayer","73.0000mm","12.5000mm","180","C86487"
"S5","SPST","TopLayer","59.5000mm","12.5000mm","180","C86487"
"S4","5-Pos Switch","TopLayer","25.0000mm","12.5000mm","45","C145900"
"S3","SMD-Button","BottomLayer","9.5000mm","55.9998mm","270","C128937"
"S2","SMD-Button","BottomLayer","9.5000mm","26.9998mm","270","C128937"
"S1","SPDT","BottomLayer","87.7300mm","27.0000mm","90","C778186"
"R18_U_Reefing-Radio_MCU2","10k","BottomLayer","24.0000mm","62.9000mm","270","C25744"
